#,bug_type,root_cause,symptom,commit,repository,type,D,N,H,R,L,O,C,P,M,V
16,Wrong loss function calculation,Wrong loss function calculation,Crash,5e3033e,id4thomas/TF2-MNIST-AAE/,Training,1,0,0,1,0,1,1,0,0,0
18,Suboptimal batch size,Suboptimal batch size,Bad performance,2.38E+43,ronnyworm/keras_catsdogs/,Training,0,0,0,0,0,0,0,0,0,0
19,Wrong loss function calculation,Wrong loss function calculation,Incorrect functionality,d816971,tensorflow/models/,Training,1,0,0,1,0,0,1,0,0,0
25,Missing variable initialization,Missing variable initialization,Crash,9d96e9f,tensorflow/models/,Training,0,0,0,0,0,0,0,0,0,0
30,Suboptimal batch size,Suboptimal batch size,Bad performance,b1b6d938bdd7a3e30f3d1fa58009f4850cbc2958#diff-2e5ad92c43aa96cc3a9cef6c6aec998b216f1379c43b1f651013d25e55989312,taashi-s/UNet_Keras/,Training,1,0,1,1,0,0,0,0,0,0
32,Wrong loss function calculation,Wrong loss function calculation,Incorrect functionality,726b371,gabrieleangeletti/Deep-Learning-TensorFlow/,Training,0,0,1,0,0,1,1,1,0,0
33,Wrong optimisation function,Wrong optimisation function,Bad performance,35e12d4,hunkim/DeepLearningZeroToAll/,Training,1,0,1,1,0,0,1,1,0,0
34,Suboptimal learning rate,Suboptimal learning rate,Bad performance,49bea76,alexander-travov/gol_nn/,Training,1,0,0,0,0,0,1,0,0,0
37,Suboptimal learning rate,Suboptimal learning rate,Bad performance,eb24906,NikhilM98/learning-deeplearning/,Training,0,0,0,1,0,0,0,0,0,1
38,Problematic early stopping,Problematic early stopping,Bad performance,5033eaa,nchlis/keras_pix2pix/,Training,0,0,0,1,0,0,0,0,0,0
39,Suboptimal batch size,Suboptimal batch size,Bad performance,52e97fd,MockingLee/ExpressionRecognition/,Training,1,0,0,0,0,0,0,0,0,0
41,Suboptimal number of epochs,Suboptimal number of epochs,Bad performance,a0532cf,kcct-fujimotolab/keras-super-resolution/,Training,0,0,1,1,0,0,0,0,0,0
43,Wrong loss function calculation,Wrong loss function calculation,Bad performance,51ad509,sarus-tech/tf2-published-models/,Training,1,0,0,1,0,0,0,1,0,0
46,Wrong optimisation function,Wrong optimisation function,Bad performance,6543925,ShyamPoovaiah/FacialKeypointsDetection/,Training,0,0,1,1,0,0,1,1,0,1
51,Wrong optimisation function,Wrong optimisation function,Crash,b5c4c9e,hunkim/DeepLearningZeroToAll/,Training,1,0,0,0,0,0,1,1,0,0
53,Suboptimal number of epochs,Suboptimal number of epochs,Bad performance,4307b16,shamitv/ImageClassifier/,Training,1,0,0,0,0,1,0,0,0,0
57,Suboptimal learning rate,suboptimal learning rate,Bad performance,b9bc441,gabrieleangeletti/Deep-Learning-TensorFlow/,Training,1,0,0,0,0,1,0,1,0,1
58,Epsilon for adam optimizer,Epsilon for adam optimizer,Bad performance,e02a510,ulmefors/Traffic-Sign-Classifier/,Training,0,0,0,0,0,1,0,0,0,0
60,Suboptimal number of epochs,Suboptimal number of epochs,Bad performance,d44c90c,acflorea/keras-playground/,Training,0,0,0,1,0,0,1,1,0,1
61,Wrong loss function calculation,Wrong loss function calculation,Bad performance,20d1b59,gabrieleangeletti/Deep-Learning-TensorFlow/,Training,0,0,1,0,0,0,1,0,0,0
